last_year_today,paid_date_day,total_nmv,carbody_nmv,thirdparty_nmv,other_types_nmv,sellers_nmv,snappbimeh_nmv,bimebazar_nmv,other_partners_nmv,total_issuance_time_hours,less_than_12_hours_thirdparty,less_than_24_hours_thirdparty,less_than_48_hours_thirdparty,less_than_120_hours_thirdparty,more_than_120_hours_thirdparty,less_than_12_hours_carbody,less_than_24_hours_carbody,less_than_48_hours_carbody,less_than_120_hours_carbody,more_than_120_hours_carbody,bb_twenty_minutes_sla_count,bb_two_hours_sla_count,bb_redline_sla_counts,sb_twenty_minutes_sla_count,sb_two_hours_sla_count,sb_redline_sla_counts,count_of_orders,bb_count_of_cash_orders,total_carbody_count,total_thirdparty_count,carbody_48hours,thirdparty_bb_order_count,thirdparty_snappbimeh_order_count,bb_league1_nmv,bb_league2_nmv,bb_other_league_nmv,snappbimeh_league1_nmv,snappbimeh_league2_nmv,snappbimeh_other_league_nmv,bb_bnpl_nmv,bb_cash_nmv,snappbime_bnpl_nmv,snappbime_cash_nmv,bb_voucher_amount,bb_non_voucher_count,count_of_created_orders,created_carbody_orders,created_thirdparty_orders,thirdparty_cancelled_count,carbody_cancelled_count
2023-12-23,2024-12-23,494147550,17025172,476339089,783289,5159605,175252827,313735118,0,5.7851690627777778,7,0,0,0,0,0,0,0,0,0,1,4,5,1,2,2,115,59,7,105,,73,37,225395606,64831732,23507780,135152445,5305076,34795306,76532280,237202838,0,158658336,15681052,22,476,76,388,,
2023-12-22,2024-12-22,5780865094,363812984,5349223023,67829087,725356586,1688547403,3358368040,8593065,1712.7686527880555556,565,19,1,0,0,4,0,0,0,0,62,163,256,37,123,159,1375,585,125,1185,4,729,414,2343379613,728312760,286675667,1309863534,70060499,308623370,913047302,2445320738,0,1374093895,155374539,185,3878,680,3119,12,2
2023-12-21,2024-12-21,6450552616,406993060,5966672237,76887319,694454961,2108776739,3647256116,64800,7477.4794004683333333,871,199,42,0,0,5,7,19,0,0,99,309,341,73,206,262,1474,620,147,1288,31,801,465,2621853718,745362666,280039732,1465566732,153668969,489541038,1007437794,2639818322,0,1707158091,160132063,204,3721,644,3010,20,7
2023-12-20,2024-12-20,5795349813,279833867,5503392913,12123033,239249840,2512141572,3030639469,13318932,12616.596354085556,703,217,141,14,0,4,7,25,7,0,71,267,353,63,179,243,1294,487,100,1181,36,650,544,2185723620,512770688,332145161,1832590152,173973730,505577690,923681728,2106957741,0,2241394126,135006718,142,3248,649,2544,43,12
2023-12-19,2024-12-19,6746081395,290230865,6420724900,35125630,656922275,2618003735,3471155385,0,12988.689886358611,1009,133,86,51,0,5,2,14,31,0,129,341,394,146,323,373,1493,551,110,1363,21,708,574,2561782266,635514361,273858758,1825564582,150505684,641933469,917401807,2553753578,0,2392111858,175188942,135,3882,826,3004,49,14
2023-12-18,2024-12-18,5527592101,276303227,5227857325,23431549,648537090,2104690365,2774364646,0,12425.736296802500,812,178,43,51,0,7,10,22,24,0,136,278,284,151,302,286,1239,461,97,1117,39,592,463,1693518389,831972589,250496737,1560765261,109099314,434825790,762066124,2012298522,0,1796084518,131000428,120,4896,1031,3782,44,11
2023-12-17,2024-12-17,5060345063,253008883,4702033165,105303015,585653282,1665031455,2802754218,6906108,8966.9977088869444444,869,78,29,22,0,7,13,26,18,3,141,366,393,134,227,218,1163,467,94,1018,46,609,368,1325929648,1177753939,299651270,1252856834,84677717,327496904,903401418,1899352800,0,1405678129,110119305,178,3626,756,2799,47,17
2023-12-16,2024-12-16,4465184011,243073704,4140757310,81352997,481896180,1302151435,2676987729,4148667,8160.3296115372222222,748,76,25,11,1,4,10,28,22,5,202,398,401,97,158,181,993,395,84,874,42,564,285,878734241,1571115616,227137872,896087449,88070604,317993382,1005554415,1671433314,0,1102655636,92669562,145,3047,539,2427,47,13
2023-12-15,2024-12-15,4952539772,318888756,4572840532,60810484,592758301,1342621265,3017160206,0,11401.053820324722,859,64,32,18,2,4,11,37,32,10,210,430,412,100,174,199,1132,472,116,981,52,651,286,1166071791,1519578726,331509689,971659426,78835233,292126606,1080516792,1936643414,0,1144450274,109153692,169,3347,678,2568,47,16
2023-12-14,2024-12-14,5213625057,255237984,4842445940,115941133,624115394,1675917559,2908856394,4735710,13018.577232375278,863,82,43,18,7,5,9,21,43,7,136,327,376,110,231,241,1157,460,93,1020,35,612,363,1064129005,1598586874,246140515,1287583705,107061236,281272618,934876487,1973979907,0,1416279366,120201311,148,3867,691,3101,59,16
